abk,Abkhaz,Northwest Caucasian,Northwest Caucasian
aco,Acoma,Keresan,Keresan
ala,Alamblak,Sepik Hill,Sepik
ame,Amele,Mabuso,Trans-New Guinea
apu,Apurinã,Purus,Arawakan
aeg,Arabic (Egyptian) -> (Syrian),Semitic,Afro-Asiatic
arp,Arapesh (Mountain),Kombio-Arapesh,Torricelli
asm,Asmat,Asmat-Kamrau Bay,Asmat-Kamrau Bay
bag,Bagirmi,Bongo-Bagirmi,Central Sudanic
brs,Barasano,Tucanoan,Tucanoan
bsq,Basque,Basque,Basque
bma,Berber (Middle Atlas),Berber,Afro-Asiatic
brm,Burmese,Burmese-Lolo,Sino-Tibetan
bur,Burushaski,Burushaski,Burushaski
cnl,Canela,Je Setentrional,Macro-Ge
cha,Chamorro,Chamorro,Austronesian
chk,Chukchi,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan
cre,Cree (Plains),Algonquian,Algic
dag,Daga,Dagan,Trans-New Guinea
dni,Dani (Lower Grand Valley),Dani,Trans-New Guinea
eng,English,Germanic,Indo-European
fij,Fijian,Oceanic,Austronesian
fin,Finnish,Finnic,Uralic
fre,French,Romance,Indo-European
geo,Georgian,Kartvelian,Kartvelian
ger,German,Germanic,Indo-European
goo,Gooniyandi,Bunuban,Bunuban
grb,Grebo,Kru,Niger-Congo
grk,Greek (Modern),Greek,Indo-European
grw,Greenlandic (West),Eskimo,Eskimo-Aleut
gua,Guaraní,Maweti-Guarani,Tupian
hau,Hausa,West Chadic,Afro-Asiatic
heb,Hebrew (Modern),Semitic,Afro-Asiatic
hin,Hindi,Indic,Indo-European
hix,Hixkaryana,Cariban,Cariban
hmo,Hmong Njua,Hmongic,Hmong-Mien
imo,Imonda,Border,Border
ind,Indonesian,Malayo-Sumbawan,Austronesian
jak,Jakaltek,Mayan,Mayan
jpn,Japanese,Japanese,Japanese
knd,Kannada,Dravidian,Dravidian
krk,Karok,Karok,Hokan
kay,Kayardild,Tangkic,Tangkic
kew,Kewa,Enga_Kewa-Huli,Trans-New Guinea
kha,Khalkha,Mongolic,Altaic
kio,Kiowa,Kiowa-Tanoan,Kiowa-Tanoan
koa,Koasati,Muskogean,Muskogean
kor,Korean,Korean,Korean
kse,Koyraboro Senni,Songhay,Songhay
kro,Krongo,Kadugli,Kadu
kut,Kutenai,Kutenai,Kutenai
lkt,Lakhota,Mississippi Valley Siouan,Siouan
lan,Lango,Western Nilotic,Eastern Sudanic
lav,Lavukaleve,Lavukaleve,Solomons East Papuan
lez,Lezgian,Lezgic,Nakh-Daghestanian
luv,Luvale,Bantu,Niger-Congo
mak,Makah,Southern Wakashan,Wakashan
mal,Malagasy,Barito,Austronesian
mnd,Mandarin,Chinese,Sino-Tibetan
myi,Mangarrayi,Mangarrayi,Mangarrayi-Maran
map,Mapudungun,Araucanian,Araucanian
mar,Maricopa,Yuman,Hokan
mrt,Martuthunira,Western Pama-Nyungan,Pama-Nyungan
mau,Maung,Iwaidjan,Iwaidjan
may,Maybrat,Maybrat,Maybrat
mei,Meithei,Manipuri,Sino-Tibetan
mxc,Mixtec (Chalcatongo),Mixtec,Oto-Manguean
kho,Nama,Khoe-Kwadi,Khoe-Kwadi
ngi,Ngiyambaa,Southeastern Pama-Nyungan,Pama-Nyungan
ond,Oneida,Northern Iroquoian,Iroquoian
orh,Oromo (Harar),Lowland East Cushitic,Afro-Asiatic
otm,Otomí (Mezquital),Otomian,Oto-Manguean
pai,Paiwan,Paiwan,Austronesian
prs,Persian,Iranian,Indo-European
prh,Pirahã,Mura,Mura
qim,Quechua (Imbabura),Quechuan,Quechuan
ram,Rama,Rama,Chibchan
rap,Rapanui,Oceanic,Austronesian
rus,Russian,Slavic,Indo-European
san,Sango,Ubangi,Niger-Congo
snm,Sanuma,Yanomam,Yanomam
sla,Slave,Athapaskan,Na-Dene
spa,Spanish,Romance,Indo-European
sup,Supyire,Senufo,Niger-Congo
swa,Swahili,Bantu,Niger-Congo
tag,Tagalog,Greater Central Philippine,Austronesian
tha,Thai,Kam-Tai,Tai-Kadai
tiw,Tiwi,Tiwian,Tiwian
tuk,Tukang Besi,Celebic,Austronesian
tur,Turkish,Turkic,Altaic
vie,Vietnamese,Vietic,Austro-Asiatic
wra,Warao,Warao,Warao
war,Wari',Chapacura-Wanham,Chapacura-Wanham
wch,Wichí,Matacoan,Matacoan
wic,Wichita,Northern Caddoan,Caddoan
yag,Yagua,Peba-Yaguan,Peba-Yaguan
yaq,Yaqui,Cahita,Uto-Aztecan
yor,Yoruba,Defoid,Niger-Congo
zqc,Zoque (Copainalá),Mixe-Zoque,Mixe-Zoque
zul,Zulu,Bantu,Niger-Congo
